"country","HDI","lifeExp","expEdu","meanEdu","GNIC_log","GNICr_HDIr","GII","matMort_log","adolBirthRate_log","reprParl","edu2F","edu2M","labF","labM","eduRatio","labRatio"
"Costa Rica",0.766,79.4,13.9,8.4,4.12752592458769,10,0.349,1.57978359661681,1.78390357927273,33.3,50.7,50.5,46.6,79,1.0039603960396,0.589873417721519
"Iran (Islamic Republic of)",0.766,75.4,15.1,8.2,4.18864729599972,4,0.515,1.36172783601759,1.4996870826184,3.1,62.2,67.6,16.6,73.6,0.920118343195266,0.22554347826087
"Venezuela (Bolivarian Republic of)",0.762,74.2,14.2,8.9,4.20841448094848,-2,0.476,2.04139268515822,1.92012332629072,17,56.6,50.8,51.1,79.2,1.11417322834646,0.64520202020202
"Turkey",0.761,75.3,14.5,7.6,4.27130711878496,-12,0.359,1.30102999566398,1.48995847942483,14.4,39,60,29.4,70.8,0.65,0.415254237288136
"Sri Lanka",0.757,74.9,13.7,10.8,3.99029444612844,29,0.37,1.46239799789896,1.22788670461367,5.8,72.7,76.4,35.1,76.3,0.951570680628272,0.46002621231979
"Mexico",0.756,76.8,13.1,8.5,4.20563735947943,-4,0.373,1.69019608002851,1.80208925788173,37.1,55.7,60.6,45.1,79.9,0.919141914191419,0.564455569461827
"Brazil",0.755,74.5,15.2,7.7,4.18112869974729,-1,0.457,1.83884909073726,1.85003325768977,9.6,54.6,52.4,59.4,80.8,1.04198473282443,0.735148514851485
"Georgia",0.754,74.9,13.8,12.1,3.85515557717699,40,0.382,1.61278385671974,1.67024585307412,11.3,89.7,92.7,56.5,75.1,0.967637540453074,0.752330226364847
"Azerbaijan",0.751,70.8,11.9,11.2,4.21558469418162,-11,0.303,1.41497334797082,1.60205999132796,15.6,93.7,97.4,62.9,69.6,0.962012320328542,0.903735632183908
"Jordan",0.748,74,13.5,9.9,4.05556944006099,11,0.473,1.69897000433602,1.42324587393681,11.6,69.5,78.5,15.6,66.6,0.885350318471338,0.234234234234234
"The former Yugoslav Republic of Macedonia",0.747,75.4,13.4,9.3,4.07114529045108,9,0.164,0.845098040014257,1.26245108973043,33.3,40.2,55.6,43.1,67.5,0.723021582733813,0.638518518518518
"Ukraine",0.747,71,15.1,11.3,3.91264710621832,25,0.286,1.36172783601759,1.40993312333129,11.8,91.7,95.9,53.2,66.9,0.956204379562044,0.795216741405082
"Algeria",0.736,74.8,14,7.6,4.11574360835996,-1,0.413,1.94939000664491,1,25.7,26.7,31,15.2,72.2,0.861290322580645,0.210526315789474
"Peru",0.734,74.6,13.1,9,4.04198450148679,8,0.406,1.94939000664491,1.70500795933334,22.3,56.3,66.1,68.2,84.4,0.851739788199697,0.808056872037915
"Albania",0.733,77.8,11.8,9.3,3.99751743941472,14,0.217,1.32221929473392,1.1846914308176,20.7,81.8,87.9,44.9,65.5,0.930602957906712,0.685496183206107
"Armenia",0.733,74.7,12.3,10.9,3.90976991473277,22,0.318,1.46239799789896,1.43296929087441,10.7,94,95,54.2,72.6,0.989473684210526,0.746556473829201
"Bosnia and Herzegovina",0.733,76.5,13.6,8.3,3.98398692196519,19,0.201,0.903089986991944,1.17897694729317,19.3,44.9,69.8,34.1,57.3,0.643266475644699,0.595113438045375
"Ecuador",0.732,75.9,14.2,7.6,4.02551067285258,7,0.407,1.93951925261862,1.88649072517248,41.6,40.1,39.4,54.7,82.7,1.01776649746193,0.66142684401451
"China",0.727,75.8,13.1,7.5,4.09853989799286,-7,0.191,1.50514997831991,0.934498451243568,23.6,58.7,71.9,63.9,78.3,0.816411682892907,0.816091954022989
"Fiji",0.727,70,15.7,9.9,3.8746557325981,21,0.418,1.77085201164214,1.63144376901317,14,64.2,64.5,37.5,72,0.995348837209302,0.520833333333333
"Mongolia",0.727,69.4,14.6,9.3,4.03055924529116,4,0.325,1.83250891270624,1.2718416065365,14.9,85.3,84.1,56.6,69.3,1.01426872770511,0.816738816738817
"Thailand",0.726,74.4,13.5,7.3,4.12460202789334,-13,0.38,1.41497334797082,1.61278385671974,6.1,35.7,40.8,64.3,80.7,0.875,0.796778190830235
"Libya",0.724,71.6,14,7.3,4.1735067702081,-19,0.134,1.17609125905568,0.397940008672038,16,55.5,41.9,30,76.4,1.32458233890215,0.392670157068063
